param_SVM__max_iter,train acc,test acc
1,0.6784036169941725,0.664545994311121
2,0.5911707657971803,0.5773579391161067
4,0.5343012045851533,0.5366992534496885
8,0.6725695441548076,0.6612470427954674
16,0.712653146121354,0.7019321937164583
32,0.7664349187910822,0.7663267607448936
64,0.784676859254909,0.7797768633840546
128,0.7801919620912297,0.7571835906216344
256,0.8849283272913352,0.873246389218746
512,0.9556644722589877,0.9376697228282384
1024,0.9534554543877719,0.930364161902921
2048,0.9536246591255044,0.930364161902921
