mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_Boost__base_estimator__max_depth,param_Boost__learning_rate,param_Boost__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.026500225067138672,0.0025490444976258454,0.0016004085540771485,0.0002000823489080969,1,0.01,1,"{'Boost__base_estimator__max_depth': 1, 'Boost__learning_rate': 0.01, 'Boost__n_estimators': 1}",0.7708984072985928,0.7908303695685789,0.7661666924385342,0.8026441935982681,0.7757383640018555,0.781255605381166,0.01352430858502481,861,0.7880586052265344,0.7870998917581566,0.7919901036029071,0.784125173960105,0.790851631359208,0.7884250811813822,0.002792030242529064
0.04149932861328125,0.007662173192206113,0.0017999172210693359,0.00040083002425754375,1,0.01,2,"{'Boost__base_estimator__max_depth': 1, 'Boost__learning_rate': 0.01, 'Boost__n_estimators': 2}",0.7708984072985928,0.7908303695685789,0.7661666924385342,0.8026441935982681,0.7757383640018555,0.781255605381166,0.01352430858502481,861,0.7880586052265344,0.7870998917581566,0.7919901036029071,0.784125173960105,0.790851631359208,0.7884250811813822,0.002792030242529064
0.06890082359313965,0.0041393648762388146,0.002200031280517578,0.0002445810506539411,1,0.01,5,"{'Boost__base_estimator__max_depth': 1, 'Boost__learning_rate': 0.01, 'Boost__n_estimators': 5}",0.7708984072985928,0.7908303695685789,0.7661666924385342,0.8026441935982681,0.7757383640018555,0.781255605381166,0.01352430858502481,861,0.7880586052265344,0.7870998917581566,0.7919901036029071,0.784125173960105,0.790851631359208,0.7884250811813822,0.002792030242529064
0.12579927444458008,0.007865347335117056,0.003100299835205078,0.0004896587029215133,1,0.01,10,"{'Boost__base_estimator__max_depth': 1, 'Boost__learning_rate': 0.01, 'Boost__n_estimators': 10}",0.7708984072985928,0.7908303695685789,0.7734111643729704,0.8026441935982681,0.7757383640018555,0.7827044997680532,0.01214823526059528,860,0.7880586052265344,0.7870998917581566,0.7970794031235502,0.7849872429256222,0.790851631359208,0.7896153548786142,0.004181168262059347
0.2490011215209961,0.021674155086723424,0.005198955535888672,0.000678135989287082,1,0.01,20,"{'Boost__base_estimator__max_depth': 1, 'Boost__learning_rate': 0.01, 'Boost__n_estimators': 20}",0.7907375908458327,0.7542137003247256,0.780910777794959,0.7724060615432193,0.7757383640018555,0.7748012989021184,0.012014621104702698,874,0.8036280346373896,0.7564790474717797,0.8088023813205505,0.7592585433740527,0.790851631359208,0.7838039276325961,0.021985054001966552
0.3454998016357422,0.024610964181274664,0.008100271224975586,0.0024773325053847254,1,0.01,30,"{'Boost__base_estimator__max_depth': 1, 'Boost__learning_rate': 0.01, 'Boost__n_estimators': 30}",0.7907375908458327,0.7542137003247256,0.780910777794959,0.7758543374052883,0.7351631359208286,0.7673759084583268,0.020058669381830502,876,0.8036280346373896,0.7564790474717797,0.8088023813205505,0.7627068192361217,0.7557890057213543,0.7774810576774392,0.023641477919815898
0.5181010723114013,0.03459680863445904,0.010299158096313477,0.0015975477766414761,1,0.01,45,"{'Boost__base_estimator__max_depth': 1, 'Boost__learning_rate': 0.01, 'Boost__n_estimators': 45}",0.7963738982526675,0.8135302304004949,0.780910777794959,0.8273233338487705,0.803703417349621,0.8043683315293025,0.015655557632312328,855,0.8152756301221584,0.8041131900417503,0.8088023813205505,0.8117848306788308,0.8069139477346526,0.8093779959795885,0.003865125853093284
0.7475042343139648,0.10637352785359416,0.014600324630737304,0.0016013540250354927,1,0.01,60,"{'Boost__base_estimator__max_depth': 1, 'Boost__learning_rate': 0.01, 'Boost__n_estimators': 60}",0.7963738982526675,0.8135302304004949,0.8125715169321167,0.8255991959177361,0.803703417349621,0.8103556517705272,0.009870109424773088,853,0.8152756301221584,0.8041131900417503,0.8485000773156021,0.8116340652543682,0.8069139477346526,0.8172873820937063,0.016071135348315255
1.070300245285034,0.13607511758488344,0.01589937210083008,0.0006635363631671045,1,0.01,80,"{'Boost__base_estimator__max_depth': 1, 'Boost__learning_rate': 0.01, 'Boost__n_estimators': 80}",0.7998221741147363,0.8175815679604146,0.8073217875367248,0.852752435441472,0.803703417349621,0.8162362764805938,0.019189596671247772,838,0.8161376990876756,0.8072811968455231,0.8397576155868254,0.8400378846451214,0.8069139477346526,0.8220256687799596,0.014961909040015696
1.092900323867798,0.06727031412499299,0.02199845314025879,0.006427096421618098,1,0.01,90,"{'Boost__base_estimator__max_depth': 1, 'Boost__learning_rate': 0.01, 'Boost__n_estimators': 90}",0.8015463120457709,0.8187026441935983,0.8073217875367248,0.852752435441472,0.803703417349621,0.8168053193134375,0.01892210090052028,837,0.8182928715014688,0.8144580176279572,0.8426240915416731,0.8404689191278799,0.8074744858512445,0.8246636771300446,0.014230903748507231
1.2416029453277588,0.08746483297809446,0.02639737129211426,0.0075863503868371365,1,0.01,100,"{'Boost__base_estimator__max_depth': 1, 'Boost__learning_rate': 0.01, 'Boost__n_estimators': 100}",0.8049945879078397,0.8187026441935983,0.8073217875367248,0.8493041595794031,0.804824493582805,0.8170295345600742,0.016926275635427788,836,0.8230129890211842,0.8144580176279572,0.8426240915416731,0.8415899953610638,0.8088758311427244,0.8261121849389206,0.013818264712748218
