mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_MLP__max_iter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.3003983020782471,0.08570855233754086,0.005399560928344727,0.0020587087466886465,1,{'MLP__max_iter': 1},0.9180068037730017,0.9075769290242772,0.9111102520488634,0.9304236895005412,0.934560074222978,0.9203355497139323,0.010558591179050598,22,0.9253575846605844,0.9273194680686562,0.927534018865007,0.9276209989175817,0.9225993505489406,0.926086284212154,0.0019319283984751275
0.16260042190551757,0.010670107697458815,0.006599998474121094,0.004713222738832089,2,{'MLP__max_iter': 2},0.919042832843668,0.9241301994742541,0.9323179217566104,0.9357661976186794,0.941456625947116,0.9305427555280656,0.008036382604470534,21,0.9386346064635842,0.9377087521261791,0.9385688882016391,0.941456625947116,0.9402079789701561,0.939315370341735,0.0013404195511063201
0.296602201461792,0.009950141603940274,0.004197883605957031,0.0007479991374464104,4,{'MLP__max_iter': 4},0.9351631359208291,0.939129426318231,0.9466290397402196,0.9392144734807484,0.9385263646203804,0.9397324880160818,0.0037557465401698215,1,0.9516738827895467,0.9521261790629348,0.9467798051646822,0.9480961032936446,0.9515675738363999,0.9500487088294415,0.0021800194232583893
0.5116012573242188,0.01510748986595825,0.004600715637207031,0.001200143934442592,8,{'MLP__max_iter': 8},0.939562393691047,0.9325807948043917,0.9262873047781042,0.9447348074841502,0.9389593319931961,0.936424926550178,0.006369768539264424,19,0.9563321478274315,0.9532511210762331,0.9541131900417504,0.9603197000154631,0.9595233493118909,0.9567079016545538,0.002821165864317111
0.8791985034942627,0.12077533195615933,0.004399871826171875,0.0010188642011925856,16,{'MLP__max_iter': 16},0.938178444410082,0.9361991649914955,0.9243002937992886,0.9555976496056904,0.9273156022885418,0.9363182310190197,0.010960371259181739,20,0.967063553425081,0.9711806092469459,0.9704055203340034,0.9695009277872275,0.9607468687181072,0.967779495902273,0.003778817878014519
1.102598524093628,0.3356116949813494,0.004401350021362304,0.0007984003037196258,32,{'MLP__max_iter': 32},0.944386887273852,0.9380083500850473,0.9331838565022421,0.9459409308798515,0.9273156022885418,0.9377671254059069,0.006941631245984349,2,0.97531892685944,0.9726032163290551,0.9654708520179373,0.9778626101747333,0.9607468687181072,0.9704004948198547,0.006359559676761673
1.1580012798309327,0.2923348744404029,0.004198646545410157,0.0007480488236890357,64,{'MLP__max_iter': 64},0.944386887273852,0.9380083500850473,0.9331838565022421,0.9459409308798515,0.9273156022885418,0.9377671254059069,0.006941631245984349,2,0.97531892685944,0.9726032163290551,0.9654708520179373,0.9778626101747333,0.9607468687181072,0.9704004948198547,0.006359559676761673
1.047201108932495,0.3127856203204453,0.0037968635559082033,0.0004043823529449239,128,{'MLP__max_iter': 128},0.944386887273852,0.9380083500850473,0.9331838565022421,0.9459409308798515,0.9273156022885418,0.9377671254059069,0.006941631245984349,2,0.97531892685944,0.9726032163290551,0.9654708520179373,0.9778626101747333,0.9607468687181072,0.9704004948198547,0.006359559676761673
1.035399580001831,0.3045937175016803,0.004199790954589844,0.0007484434182004476,256,{'MLP__max_iter': 256},0.944386887273852,0.9380083500850473,0.9331838565022421,0.9459409308798515,0.9273156022885418,0.9377671254059069,0.006941631245984349,2,0.97531892685944,0.9726032163290551,0.9654708520179373,0.9778626101747333,0.9607468687181072,0.9704004948198547,0.006359559676761673
1.0901990413665772,0.3249786944244938,0.0044003486633300785,0.0004892215066969763,512,{'MLP__max_iter': 512},0.944386887273852,0.9380083500850473,0.9331838565022421,0.9459409308798515,0.9273156022885418,0.9377671254059069,0.006941631245984349,2,0.97531892685944,0.9726032163290551,0.9654708520179373,0.9778626101747333,0.9607468687181072,0.9704004948198547,0.006359559676761673
1.0490009784698486,0.35589642704917085,0.0037989139556884764,0.0007486986539633419,1024,{'MLP__max_iter': 1024},0.944386887273852,0.9380083500850473,0.9331838565022421,0.9459409308798515,0.9273156022885418,0.9377671254059069,0.006941631245984349,2,0.97531892685944,0.9726032163290551,0.9654708520179373,0.9778626101747333,0.9607468687181072,0.9704004948198547,0.006359559676761673
1.154799509048462,0.3948421110553788,0.004800653457641602,0.0007478450544553,2048,{'MLP__max_iter': 2048},0.944386887273852,0.9380083500850473,0.9331838565022421,0.9459409308798515,0.9273156022885418,0.9377671254059069,0.006941631245984349,2,0.97531892685944,0.9726032163290551,0.9654708520179373,0.9778626101747333,0.9607468687181072,0.9704004948198547,0.006359559676761673
1.2686006069183349,0.31620404531605834,0.004000139236450195,2.2738683734066706e-06,2100,{'MLP__max_iter': 2100},0.944386887273852,0.9380083500850473,0.9331838565022421,0.9459409308798515,0.9273156022885418,0.9377671254059069,0.006941631245984349,2,0.97531892685944,0.9726032163290551,0.9654708520179373,0.9778626101747333,0.9607468687181072,0.9704004948198547,0.006359559676761673
1.0976020336151122,0.2956455317394984,0.004198503494262695,0.0009802688059093343,2200,{'MLP__max_iter': 2200},0.944386887273852,0.9380083500850473,0.9331838565022421,0.9459409308798515,0.9273156022885418,0.9377671254059069,0.006941631245984349,2,0.97531892685944,0.9726032163290551,0.9654708520179373,0.9778626101747333,0.9607468687181072,0.9704004948198547,0.006359559676761673
