param_MLP__max_iter,train acc,test acc
1,0.8433168393381785,0.8266314168073698
2,0.8765408999536105,0.8789730146035132
4,0.9081815370341734,0.9045291625936787
8,0.9243203958558835,0.912378921176575
16,0.9411659192825111,0.9243609111644301
32,0.9553053966290397,0.9326253739743475
64,0.9712726148136694,0.9417192452383069
128,0.986653780732952,0.9395124263159453
256,0.9907576929024278,0.9450220681892236
512,0.9907576929024278,0.9450220681892236
1024,0.9907576929024278,0.9450220681892236
2048,0.9907576929024278,0.9450220681892236
2100,0.9907576929024278,0.9450220681892236
2200,0.9907576929024278,0.9450220681892236
2300,0.9907576929024278,0.9450220681892236
2400,0.9907576929024278,0.9450220681892236
2500,0.9907576929024278,0.9450220681892236
2600,0.9907576929024278,0.9450220681892236
2700,0.9907576929024278,0.9450220681892236
2800,0.9907576929024278,0.9450220681892236
2900,0.9907576929024278,0.9450220681892236
3000,0.9907576929024278,0.9450220681892236
