param_SVM__max_iter,train acc,test acc
1,0.916900609669644,0.9217422422284206
2,0.9258142663128553,0.9235982620382389
4,0.9257754737336814,0.9195387221194298
8,0.9257754737336814,0.9195387221194298
16,0.9257754737336814,0.9195387221194298
32,0.9257754737336814,0.9195387221194298
64,0.9257754737336814,0.9195387221194298
128,0.9257754737336814,0.9195387221194298
256,0.9257754737336814,0.9195387221194298
512,0.9257754737336814,0.9195387221194298
1024,0.9257754737336814,0.9195387221194298
2048,0.9257754737336814,0.9195387221194298
