mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_Boost__base_estimator__max_depth,param_Boost__learning_rate,param_Boost__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.016200685501098634,0.001938518288680357,0.001800680160522461,0.00039894678798736054,1,0.01,1,"{'Boost__base_estimator__max_depth': 1, 'Boost__learning_rate': 0.01, 'Boost__n_estimators': 1}",0.8556209382779916,0.8985851603844908,0.8785397991143752,0.8836411419519746,0.8868830327249163,0.88064929660982,0.014147623621285417,834,0.8869122835439391,0.8761648005569994,0.8811724646950401,0.8798976945517154,0.8790887771651866,0.8806472041025761,0.0035386302357832303
0.02720022201538086,0.011232368797086757,0.0021998405456542967,0.0004006888885348539,1,0.01,2,"{'Boost__base_estimator__max_depth': 1, 'Boost__learning_rate': 0.01, 'Boost__n_estimators': 2}",0.8556209382779916,0.8985851603844908,0.8785397991143752,0.8836411419519746,0.8868830327249163,0.88064929660982,0.014147623621285417,834,0.8869122835439391,0.8761648005569994,0.8811724646950401,0.8798976945517154,0.8790887771651866,0.8806472041025761,0.0035386302357832303
0.05180134773254395,0.01771349122149213,0.007799386978149414,0.010608642008438226,1,0.01,5,"{'Boost__base_estimator__max_depth': 1, 'Boost__learning_rate': 0.01, 'Boost__n_estimators': 5}",0.8556209382779916,0.8985851603844908,0.8785397991143752,0.8836411419519746,0.8868830327249163,0.88064929660982,0.014147623621285417,834,0.8869122835439391,0.8761648005569994,0.8811724646950401,0.8798976945517154,0.8790887771651866,0.8806472041025761,0.0035386302357832303
0.0842008113861084,0.019701670292650117,0.004000329971313476,2.81535900480757e-06,1,0.01,10,"{'Boost__base_estimator__max_depth': 1, 'Boost__learning_rate': 0.01, 'Boost__n_estimators': 10}",0.8556209382779916,0.8985851603844908,0.8785397991143752,0.8836411419519746,0.8868830327249163,0.88064929660982,0.014147623621285417,834,0.8869122835439391,0.8761648005569994,0.8811724646950401,0.8798976945517154,0.8790887771651866,0.8806472041025761,0.0035386302357832303
0.14860148429870607,0.016303149196458627,0.005600786209106446,0.0004891813492394646,1,0.01,20,"{'Boost__base_estimator__max_depth': 1, 'Boost__learning_rate': 0.01, 'Boost__n_estimators': 20}",0.8556209382779916,0.8985851603844908,0.8785397991143752,0.8836411419519746,0.8868830327249163,0.88064929660982,0.014147623621285417,834,0.8869122835439391,0.8761648005569994,0.8811724646950401,0.8798976945517154,0.8790887771651866,0.8806472041025761,0.0035386302357832303
0.2099987506866455,0.010542315420005059,0.011600399017333984,0.007888972400695754,1,0.01,30,"{'Boost__base_estimator__max_depth': 1, 'Boost__learning_rate': 0.01, 'Boost__n_estimators': 30}",0.8556209382779916,0.8985851603844908,0.8785397991143752,0.8836411419519746,0.8868830327249163,0.88064929660982,0.014147623621285417,834,0.8869122835439391,0.8761648005569994,0.8811724646950401,0.8798976945517154,0.8790887771651866,0.8806472041025761,0.0035386302357832303
0.2928003311157227,0.0036546143143011134,0.010000085830688477,0.0006317330548406203,1,0.01,45,"{'Boost__base_estimator__max_depth': 1, 'Boost__learning_rate': 0.01, 'Boost__n_estimators': 45}",0.8556209382779916,0.8985851603844908,0.8785397991143752,0.8836411419519746,0.8868830327249163,0.88064929660982,0.014147623621285417,834,0.8869122835439391,0.8761648005569994,0.8811724646950401,0.8798976945517154,0.8790887771651866,0.8806472041025761,0.0035386302357832303
0.3596016883850098,0.0109648480215007,0.012598419189453125,0.0004919468807323381,1,0.01,60,"{'Boost__base_estimator__max_depth': 1, 'Boost__learning_rate': 0.01, 'Boost__n_estimators': 60}",0.8556209382779916,0.8985851603844908,0.8785397991143752,0.8836411419519746,0.8200201605644958,0.8672792424518467,0.02736176801586802,861,0.8869122835439391,0.8761648005569994,0.8811724646950401,0.8798976945517154,0.8330304109759092,0.8714355308647207,0.01951033158955271
0.46900043487548826,0.00493952898313946,0.016200542449951172,0.0007499218153818628,1,0.01,80,"{'Boost__base_estimator__max_depth': 1, 'Boost__learning_rate': 0.01, 'Boost__n_estimators': 80}",0.8142412191363014,0.8512816358858047,0.829812434748173,0.8368236310616697,0.8200201605644958,0.8304327641501628,0.013012143531966811,865,0.8344844655650357,0.8252188597165889,0.8305837563451776,0.8288316642243974,0.8330304109759092,0.8304298313654218,0.0032537710256914246
0.52300124168396,0.003161943637814512,0.017998981475830077,0.000632490877206649,1,0.01,90,"{'Boost__base_estimator__max_depth': 1, 'Boost__learning_rate': 0.01, 'Boost__n_estimators': 90}",0.8142412191363014,0.8512816358858047,0.829812434748173,0.8368236310616697,0.8200201605644958,0.8304327641501628,0.013012143531966811,865,0.8344844655650357,0.8252188597165889,0.8305837563451776,0.8288316642243974,0.8330304109759092,0.8304298313654218,0.0032537710256914246
0.6420016288757324,0.028320517063060418,0.020800018310546876,0.0007487499184285919,1,0.01,100,"{'Boost__base_estimator__max_depth': 1, 'Boost__learning_rate': 0.01, 'Boost__n_estimators': 100}",0.8142412191363014,0.8512816358858047,0.829812434748173,0.8368236310616697,0.8200201605644958,0.8304327641501628,0.013012143531966811,865,0.8344844655650357,0.8252188597165889,0.8305837563451776,0.8288316642243974,0.8330304109759092,0.8304298313654218,0.0032537710256914246
