mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_KNN__metric,param_KNN__n_neighbors,param_KNN__weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.08419952392578126,0.05445132337099818,0.3825998306274414,0.16371339846400512,manhattan,1,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 1, 'KNN__weights': 'uniform'}",0.935556705141884,0.9518180509054254,0.9446142491989776,0.9382312704755734,0.9483835547395327,0.9437192274452847,0.006081452704713583,1,0.9905533354933941,0.9911909638733044,0.9909794579511383,0.9923571137503814,0.9932146066597042,0.9916590955455844,0.0009808775719501648
0.126798677444458,0.04317250625819362,0.6706029415130615,0.15273162420474978,manhattan,4,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 4, 'KNN__weights': 'uniform'}",0.9366667744403849,0.9393707023796667,0.9317060877704576,0.936807430608057,0.93233430536055,0.935377303178979,0.0029115794099626785,4,0.9674069373942471,0.9583073589218393,0.9686826183286242,0.963226305264777,0.966464673451048,0.9648175786721073,0.0037221322814440707
0.13599867820739747,0.05033028691771904,0.7684002876281738,0.11348366002493404,manhattan,7,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 7, 'KNN__weights': 'uniform'}",0.9285406360804854,0.9458454836735428,0.9348219750153004,0.928849407783418,0.9326943154408324,0.9341493063564394,0.006307270515691106,5,0.9534241458760846,0.9537196706579556,0.9540998415898228,0.9562577417239454,0.9544742779113606,0.9543951355518339,0.0009961764464926197
0.1027982234954834,0.03310214946072476,0.7354016780853272,0.15838506157108442,manhattan,10,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 10, 'KNN__weights': 'uniform'}",0.9402340845161499,0.9428970011160311,0.9322839039493106,0.931655686359218,0.9326943154408325,0.9359538051150268,0.004671011417888164,3,0.9531833891348959,0.9523649533000322,0.9498154130133823,0.9505157101336636,0.9539055394986466,0.951957001016124,0.00155762470980867
0.09159784317016602,0.04714882028732706,0.8360018253326416,0.25394551056805487,manhattan,13,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 13, 'KNN__weights': 'uniform'}",0.9279101598284242,0.9396803110487094,0.935450192605393,0.9301310436692228,0.9275677718976132,0.932147097141199,0.004704086390525991,6,0.9482683515138424,0.9460110050545532,0.9465912126879265,0.9480461170616127,0.9435272441216872,0.9464887860879243,0.0017088961120415038
0.08999848365783691,0.03001351911536903,0.9790016651153565,0.31024118270625584,manhattan,16,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 16, 'KNN__weights': 'uniform'}",0.9266330412665568,0.935232386506822,0.9286820030960866,0.930784461964935,0.9301310436692227,0.930291897601133,0.002851696589373944,7,0.9431377578572201,0.9431157014980153,0.9421610575431039,0.9449335729725791,0.9401488839773638,0.9426993947696565,0.0015589700447489734
0.06979866027832031,0.014496153379225146,0.7814017295837402,0.21825832419108945,manhattan,19,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 19, 'KNN__weights': 'uniform'}",0.9177093773912293,0.9284137955862765,0.9248370954386723,0.9226842351585843,0.9239406703387696,0.9235159402374008,0.003473993152870521,11,0.9366940274327681,0.9328460263873035,0.9373591647168991,0.9393284973701752,0.9358843578720684,0.936422414755843,0.0021202192844104895
0.08399777412414551,0.023655415420130048,0.9006016731262207,0.24648530607769992,manhattan,22,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 22, 'KNN__weights': 'uniform'}",0.9213251856402297,0.9328869208337833,0.9278107787018036,0.922927241962775,0.92672174820895,0.9263334310081761,0.004049059372031344,8,0.9366584764373402,0.9313169094093487,0.9366274959048134,0.938022355535046,0.9397201375227024,0.9364690749618502,0.0028138183419727848
0.09459962844848632,0.019682164431562163,1.0318003177642823,0.27417512240409647,manhattan,25,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 25, 'KNN__weights': 'uniform'}",0.9164322588293619,0.9250045001260034,0.9313874788494076,0.9203387694855456,0.9213773985671598,0.9229068606998894,0.005043636113684548,13,0.933502538071066,0.9265264858038036,0.9318313376889384,0.9326888305982617,0.9349725548296214,0.9319043493983383,0.002881327815655643
0.10519924163818359,0.025624530791955504,0.5679993152618408,0.1580744453542732,manhattan,28,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 28, 'KNN__weights': 'uniform'}",0.9149557588886374,0.9296954314720812,0.9252475069301941,0.9184541167152681,0.9163012564351801,0.9209296879941901,0.00563425587263519,14,0.9306440580336249,0.9294018868891966,0.9338549804753383,0.9312082891431008,0.9326517242961272,0.9315521877674776,0.0015542583168639049
0.11279892921447754,0.023232245742274272,0.8704018592834473,0.12431054570506274,manhattan,31,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 31, 'KNN__weights': 'uniform'}",0.9136786403267698,0.9284137955862765,0.9266965475033301,0.9205565755841164,0.9128919609749072,0.9204462282951802,0.006409874252644309,15,0.9273918169708751,0.9243456472283618,0.9267265225053095,0.9258862334269762,0.929027450567659,0.9266755341398364,0.001555541090842592
