,0,1,2,3,4
212,0.984403839055002,0.9820186138971718,0.9820186138971718,0.9820186138971718,0.9820186138971718
222,0.98510101010101,0.9645360824742268,0.9645360824742268,0.9645360824742268,0.9645360824742268
233,0.9855843354918287,0.9711121089657238,0.9711121089657238,0.9711121089657238,0.9711121089657238
244,0.9860283687943262,0.9688269073010665,0.9688269073010665,0.9688269073010665,0.9688269073010665
254,0.9867532467532469,0.9609848484848483,0.9609848484848483,0.9609848484848483,0.9609848484848483
265,0.9874213836477986,0.9592753623188405,0.9592753623188405,0.9592753623188405,0.9592753623188405
275,0.9878136398806234,0.9584677419354838,0.9584677419354838,0.9584677419354838,0.9584677419354838
286,0.9854563946097126,0.9561324754351836,0.9561324754351836,0.9561324754351836,0.9561324754351836
297,0.9860537190082646,0.9607225567392312,0.9607225567392312,0.9607225567392312,0.9607225567392312
307,0.9865386301850391,0.9591646426092992,0.9591646426092992,0.9591646426092992,0.9591646426092992
318,0.986988543371522,0.9541590771098969,0.9541590771098969,0.9541590771098969,0.9541590771098969
328,0.9874112454423336,0.955573814346314,0.955573814346314,0.955573814346314,0.955573814346314
339,0.984208633093525,0.9570136555372847,0.9570136555372847,0.9570136555372847,0.9570136555372847
350,0.9846795716360933,0.95,0.95,0.95,0.95
360,0.9850531302009984,0.9513768686073956,0.9513768686073956,0.9513768686073956,0.9513768686073956
371,0.9832822638788754,0.9559389810426541,0.9559389810426541,0.9559389810426541,0.9559389810426541
381,0.9837798717148208,0.9579739556908509,0.9579739556908509,0.9579739556908509,0.9579739556908509
392,0.9843011613936725,0.9590176984105925,0.9590176984105925,0.9590176984105925,0.9590176984105925
403,0.9847140039447732,0.9565413533834587,0.9565413533834587,0.9565413533834587,0.9565413533834587
413,0.985148158803222,0.9554624456859093,0.9554624456859093,0.9554624456859093,0.9554624456859093
424,0.9855398676761477,0.9566569793842521,0.9566569793842521,0.9566569793842521,0.9566569793842521
625,0.9846042894769848,0.9532797872117619,0.9532797872117619,0.9532797872117619,0.9532797872117619
826,0.9860384722941172,0.9594928273506715,0.9594928273506715,0.9594928273506715,0.9594928273506715
1027,0.9809751756727729,0.962250892269044,0.962250892269044,0.962250892269044,0.962250892269044
1228,0.9734133007374375,0.9653605920990773,0.9659506890611541,0.9659506890611541,0.9659506890611541
1429,0.9743520347061949,0.9653957153957153,0.9655119497456992,0.9655119497456992,0.9655119497456992
1630,0.9717675617065861,0.9629227479837235,0.9666028319405757,0.9666028319405757,0.9666028319405757
1831,0.9705665712785951,0.9624690148849471,0.9688704335001571,0.9688704335001571,0.9688704335001571
2032,0.9686074875384453,0.9657302333620077,0.9660659599528858,0.9660659599528858,0.9660659599528858
2233,0.9682907881036055,0.9621326477664042,0.9642435963960566,0.9661254836198899,0.9661254836198899
2434,0.969123341847244,0.9599427631177009,0.9652552629031824,0.9656658994764185,0.9656658994764185
2635,0.9691992465535326,0.9612557981115977,0.9658343018798581,0.9642234039949511,0.9642234039949511
2836,0.9683456308619552,0.9595250063782116,0.963062703502838,0.9656963494471881,0.9656963494471881
3037,0.9685319766801751,0.9606722373767222,0.9666536896779212,0.9653325623884504,0.9653325623884504
3238,0.9688507081675256,0.961522927558342,0.9664644923626486,0.9649733793496933,0.9657216986368987
3439,0.9679860933758017,0.9628155097202499,0.966467530214657,0.9653848827932201,0.9638160174987424
3640,0.9687103537674442,0.9618735301089799,0.9648730354558643,0.9650134887273982,0.9649160495673461
3841,0.968734247154307,0.963449820926603,0.9662602936935787,0.9659404214993738,0.9636048748668576
4042,0.9692111315062135,0.9629175998506906,0.9655888391190741,0.9668719671519224,0.9653952068134799
4244,0.968529268819527,0.961590198710719,0.9652415416386281,0.967151187577942,0.96475771321597
