,0,1,2,3,4
212,1.0,1.0,1.0,1.0,1.0
222,1.0,1.0,1.0,1.0,1.0
233,1.0,1.0,1.0,1.0,1.0
244,1.0,1.0,1.0,1.0,1.0
254,1.0,1.0,1.0,1.0,1.0
265,1.0,1.0,1.0,1.0,1.0
275,1.0,1.0,1.0,1.0,1.0
286,1.0,1.0,1.0,1.0,1.0
297,1.0,1.0,1.0,1.0,1.0
307,1.0,1.0,1.0,1.0,1.0
318,1.0,1.0,1.0,1.0,1.0
328,1.0,1.0,1.0,1.0,1.0
339,1.0,1.0,1.0,1.0,1.0
350,1.0,1.0,1.0,1.0,1.0
360,1.0,1.0,1.0,1.0,1.0
371,1.0,1.0,1.0,1.0,1.0
381,1.0,1.0,1.0,1.0,1.0
392,1.0,1.0,1.0,1.0,1.0
403,1.0,1.0,1.0,1.0,1.0
413,1.0,1.0,1.0,1.0,1.0
424,1.0,1.0,1.0,1.0,1.0
625,0.9971988795518207,1.0,1.0,1.0,1.0
826,0.9978401727861771,0.9967602591792656,0.9967602591792656,0.9967602591792656,0.9967602591792656
1027,0.9982394366197181,0.9973404255319147,0.9973404255319147,0.9973404255319147,0.9973404255319147
1228,0.9957835775786801,0.9970717423133237,0.9963662790697676,0.9963662790697676,0.9963662790697676
1429,0.9981084489281211,0.9974747474747476,0.9969059405940593,0.9969059405940593,0.9969059405940593
1630,0.9959872444628542,0.9966740576496672,0.9967105263157895,0.9967105263157895,0.9967105263157895
1831,0.9964465322847902,0.9970617042115573,0.9965686274509803,0.9965686274509803,0.9965686274509803
2032,0.9967977044814462,0.99723862158903,0.9967942677659992,0.9967942677659992,0.9967942677659992
2233,0.995485975530392,0.9957781027406953,0.9961790650502383,0.9966774237054588,0.9966774237054588
2434,0.9955253906786411,0.9966583216235011,0.9961441644534108,0.9969535821400846,0.9969535821400846
2635,0.995663526916161,0.995566339292089,0.9954214962317396,0.9964887714108899,0.9964887714108899
2836,0.9949401205924031,0.9939996817209299,0.9952536002162278,0.994924750292677,0.994924750292677
3037,0.994732649076094,0.9941836960284249,0.9948977974057178,0.9956438533867009,0.9956438533867009
3238,0.993844844730369,0.9933735201275062,0.9943138476994923,0.9954902261747506,0.994657379458357
3439,0.993443710250439,0.9944714594796271,0.9937237082403735,0.9949853340942212,0.9949019196043428
3640,0.993789696065867,0.9928480764801795,0.9936504694604599,0.9943478291536217,0.9948034332827886
3841,0.992585156169172,0.9919287646687198,0.9938506118432783,0.9938742755066775,0.99321916809098
4042,0.9923251533666192,0.9917179917879806,0.9930944382232175,0.9931644270250094,0.9922851436150569
4244,0.9922098318752925,0.9903591902723249,0.992893048353324,0.9918350712056303,0.9937511250315009
