mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_SVM__max_iter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.015625143051147462,0.00988181616103834,0.003125429153442383,0.006250858306884766,1,{'SVM__max_iter': 1},0.5,0.5,0.49999999999999994,0.49999999999999994,0.5011210762331838,0.5002242152466367,0.0004484304932735328,7,0.49999999999999983,0.49999999999999994,0.49999999999999994,0.49999999999999994,0.49898716561001993,0.4997974331220039,0.0004051337559919932
0.01562509536743164,1.4820356624527028e-06,0.0031248092651367187,0.006249618530273437,2,{'SVM__max_iter': 2},0.5,0.5,0.49999999999999994,0.49999999999999994,0.5011210762331838,0.5002242152466367,0.0004484304932735328,7,0.5002802690582958,0.5002802690582959,0.5002802690582958,0.5002802690582958,0.5005605381165917,0.500336322869955,0.00011210762331835822
0.021873331069946288,0.0076555319810348785,0.0,0.0,4,{'SVM__max_iter': 4},0.5011210762331839,0.5,0.49999999999999994,0.49827586206896546,0.5011210762331838,0.5001036029070666,0.0010423634332312522,9,0.5008408071748878,0.49999999999999994,0.5002802690582958,0.5014013452914797,0.5005605381165917,0.500616591928251,0.0004821931203499212
0.027268648147583008,0.0015613231552463393,0.0031992912292480467,0.00039926032272505975,8,{'SVM__max_iter': 8},0.5011210762331839,0.48807020256687794,0.49839183547239824,0.49827586206896546,0.5022421524663677,0.4976202257615587,0.005016898325094851,10,0.5006900417504251,0.4882460955620843,0.5118176898098036,0.5011210762331838,0.5009703108087211,0.5005690428328435,0.007468165582682222
0.030001306533813478,0.011008913090674713,0.0038000106811523437,0.0007484223223498378,16,{'SVM__max_iter': 16},0.4698159888665533,0.4669939693830215,0.49999999999999994,0.49827586206896546,0.4767666615122931,0.48237049636616663,0.0140658185841126,12,0.46104260089686083,0.44507306324416257,0.5001295036338332,0.5014013452914797,0.4821304314210606,0.4779553888974794,0.022027823106102455
0.034799718856811525,0.009065486197863635,0.004798221588134766,0.0011659835238283353,32,{'SVM__max_iter': 32},0.4821478274315757,0.5304004948198546,0.5045770836554816,0.4672181846296582,0.46281119529921133,0.48943095716715623,0.025151425913972514,11,0.4820608473790009,0.5149702334931189,0.5028935364156486,0.48392415339415484,0.46067921756610475,0.4889055976496056,0.018673090790401494
0.05120177268981933,0.004668185570362104,0.008797788619995117,0.0007479476148047217,64,{'SVM__max_iter': 64},0.4864156486779032,0.6283593629194372,0.52672027215092,0.5384103912169474,0.4871888047007885,0.5334188959331992,0.05182664458598231,6,0.49990722127725357,0.6219808257306323,0.5211380856656873,0.5652485696613576,0.5130547394464201,0.5442658883562702,0.044624223969602625
0.09034686088562012,0.013092231962192835,0.021873950958251953,0.007656972153107485,128,{'SVM__max_iter': 128},0.6219885572908612,0.6914798206278027,0.6373357043451368,0.6463043142106076,0.5644889438688727,0.6323194680686562,0.04105701789861074,5,0.5962985155404359,0.6868872738518632,0.647438920674192,0.6791576465130663,0.5883504716251737,0.6396265656409462,0.04089956363998933
0.1474285125732422,0.015201983356441788,0.024998283386230467,0.007655298997296138,256,{'SVM__max_iter': 256},0.8139245399721665,0.7709061388588218,0.8164450286067727,0.740289160352559,0.7311581877222822,0.7745446111025205,0.035708486119939375,4,0.7980419823720424,0.7760128343899798,0.8449416267202722,0.7557464821400958,0.7495612339570124,0.7848608319158805,0.03451213893927238
0.26250224113464354,0.015308259872587542,0.04062323570251465,0.0076547722766737505,512,{'SVM__max_iter': 512},0.9291247873820939,0.9224911087057369,0.9249033554971392,0.9209370650997372,0.9209370650997372,0.9236786763568888,0.003085551678133711,3,0.9529863151383948,0.9552304004948199,0.9520179372197309,0.9548418895933198,0.9576426472862222,0.9545438379464976,0.0019477614854050884
0.3405440807342529,0.01275315976371172,0.05304412841796875,0.006403796864017253,1024,{'SVM__max_iter': 1024},0.934042059687645,0.9230941704035875,0.931026751198392,0.9259393845678059,0.9248183083346219,0.9277841348384105,0.004095636240880307,1,0.9512215865161588,0.9528394154940467,0.9526016700170095,0.9542832843667852,0.953937297046544,0.9529766506881089,0.001083496861654518
0.33560924530029296,0.016872100054856023,0.05006351470947266,0.006219353918504817,2048,{'SVM__max_iter': 2048},0.934042059687645,0.9230941704035875,0.9321478274315756,0.9236972321014381,0.9248183083346219,0.9275599195917736,0.004592314042269773,2,0.9515018555744548,0.9528394154940467,0.9527311736508427,0.953140946342972,0.9535062625637852,0.9527439307252201,0.0006768754681626837
