mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_KNN__metric,param_KNN__n_neighbors,param_KNN__weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.02820000648498535,0.0029931952975592044,0.24720005989074706,0.06888120116182019,manhattan,1,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 1, 'KNN__weights': 'uniform'}",0.9129194371424155,0.9018865006958406,0.8849002628730477,0.908698005257461,0.9043837946497603,0.902557600123705,0.00959832445046011,1,0.9990084274006494,0.9995689655172414,0.9992886964589454,0.9995689655172414,0.9994394618834079,0.999374903355497,0.0002103446235406744
0.03689985275268555,0.013944214635405728,0.29900054931640624,0.03838516413858419,manhattan,4,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 4, 'KNN__weights': 'uniform'}",0.8718029998453688,0.8899953610638628,0.8647363537961961,0.8813746714086903,0.867751662285449,0.8751322096799133,0.009311407358899355,14,0.9165494046698621,0.9204499768053193,0.9142647286222358,0.9161608937683625,0.9123898252667387,0.9159629658265038,0.0026895239940545766
0.04459891319274902,0.031206731654887673,0.5903027534484864,0.16050210244676702,manhattan,7,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 7, 'KNN__weights': 'uniform'}",0.8943018401113345,0.903185402814288,0.8734420906138859,0.9118060924694604,0.9011983918354723,0.8967867635688883,0.01293934997397301,3,0.9190679604144114,0.9189384567805783,0.9237455543528684,0.9223654708520179,0.917171795268285,0.9202578475336323,0.0024201866378168713
0.036197757720947264,0.02444700861636289,0.49090213775634767,0.03948320955178385,manhattan,10,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 10, 'KNN__weights': 'uniform'}",0.8831838565022423,0.8749961342198856,0.8537034173496212,0.8881861759703108,0.871632905520334,0.8743404979124786,0.011862190368694478,15,0.8943926859440234,0.8890695067264572,0.9041769754136384,0.8966986237822792,0.8904495902273077,0.894957476418741,0.005354231394905686
0.03209843635559082,0.016964508726979466,0.7123004913330078,0.10475658120834605,manhattan,13,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 13, 'KNN__weights': 'uniform'}",0.8969769599505181,0.8876681614349775,0.8543064790474717,0.8985310035565177,0.8786145044069893,0.8832194216792948,0.016128665158634408,8,0.8984440235039429,0.8949532240606154,0.9056421060770062,0.8993060924694604,0.8957940312355033,0.8988278954693056,0.003769002705685275
0.04089884757995606,0.023464949371083687,0.6700010776519776,0.15947019304964077,manhattan,16,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 16, 'KNN__weights': 'uniform'}",0.8791325189423226,0.8663754445647132,0.8427555280655635,0.8617210453069428,0.8693057058914486,0.8638580485541981,0.011993388617297195,29,0.880578320705118,0.8727984382248337,0.8904921138085665,0.8761172104530692,0.8742210453069428,0.8788414256997059,0.006388149950886742
0.04199666976928711,0.03700761312428967,0.5986003875732422,0.014381905976059569,manhattan,19,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 19, 'KNN__weights': 'uniform'}",0.8849079944332765,0.8715478583578167,0.8468068656254832,0.8686175970310808,0.8762022576155869,0.8696165146126488,0.012666565263873865,19,0.8820221895778566,0.8785526519251585,0.8893710375753828,0.8791344518323797,0.8802767898561927,0.8818714241533939,0.003932303569746476
0.04129910469055176,0.023549887094581296,0.7276014804840087,0.126754507398731,manhattan,22,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 22, 'KNN__weights': 'uniform'}",0.8670635534250811,0.8577547549095409,0.8456007422297819,0.8524972939539198,0.8565486315138394,0.8558929952064327,0.007016247393124284,33,0.868186562548322,0.8661183701871037,0.8749536106386269,0.8671737281583423,0.8634451832379773,0.8679754909540744,0.003830251027703022
0.052699613571166995,0.039989617146377825,0.7495009422302246,0.047167714240304984,manhattan,25,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 25, 'KNN__weights': 'uniform'}",0.8618911396319777,0.8594788928405752,0.8456007422297819,0.8542214318849544,0.8577547549095408,0.8557893922993659,0.0056740369234908735,35,0.869199396938302,0.8682948043915262,0.8761384722436988,0.8659018865006957,0.8637679758775318,0.8686605071903509,0.004192635276122074
0.03609914779663086,0.016953824746132506,0.7096004486083984,0.05225558051526447,manhattan,28,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 28, 'KNN__weights': 'uniform'}",0.8589608783052419,0.8450827276944487,0.8272382866862532,0.8369800525746095,0.8479279418586669,0.8432379774238441,0.010656080041030839,45,0.8542214318849543,0.8501488325344053,0.865751121076233,0.8504928869645895,0.8570009277872273,0.8555230400494818,0.005703972719810061
0.026998186111450197,0.006625364076316645,0.78480224609375,0.043171104601819325,manhattan,31,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 31, 'KNN__weights': 'uniform'}",0.8612880779341271,0.8468068656254831,0.8300835008504717,0.8468068656254832,0.850255141487552,0.8470480903046234,0.010009756230976963,44,0.852238286686253,0.8581007422297819,0.8634664450286066,0.8536608937683625,0.8555783207051182,0.8566089376836243,0.0039523818695551775
