mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_SVM__max_iter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.02079925537109375,0.00823237733642674,0.002399444580078125,0.0004889089770122587,1,{'SVM__max_iter': 1},0.8842671926024119,0.8745364870216366,0.8855347949742592,0.8890358930050042,0.8955358750045002,0.8857817630228969,0.006848374549444681,9,0.9097783237930662,0.8840340352496378,0.8797951462258167,0.9057790029604083,0.8994449571860741,0.8957662930830006,0.011856199552086161
0.016199254989624025,0.0007468265007965056,0.002201080322265625,0.0004009057856279465,2,{'SVM__max_iter': 2},0.8844342418657786,0.8241512762357346,0.9156478381394678,0.8706663786586025,0.8683371134391763,0.8726495910910836,0.02953524368509663,12,0.9008968751125032,0.8357357977315232,0.9032176561230795,0.8843082845554125,0.8853138653432535,0.8818944957731544,0.024347120804341073
0.019000768661499023,0.0015491125380436115,0.0015986442565917968,0.0004884610645930972,4,{'SVM__max_iter': 4},0.8471607013913587,0.8895885084782374,0.8932156100370809,0.8797044317240883,0.8774093674622889,0.8774100217789523,0.016242115838771994,11,0.8713004464124995,0.8983159136111314,0.8834305518449251,0.8850112803158489,0.8916195753959579,0.8859355535160726,0.009021054207447142
0.024599647521972655,0.0018527640327634343,0.001800537109375,0.0003991172874579154,8,{'SVM__max_iter': 8},0.8717277204780842,0.8752313064765813,0.8972279223818267,0.881077870180365,0.8885750801022428,0.8827658992115234,0.009212952339351942,10,0.8772226122331426,0.8608419217556273,0.8882149035101211,0.8830473449428834,0.8970384448276515,0.8812730454538853,0.012113811738781038
0.0331993579864502,0.004533791700968849,0.0031986236572265625,0.0024011145730840583,16,{'SVM__max_iter': 16},0.9156508993716791,0.9014580408251431,0.9251053029484826,0.8938438276271736,0.8893707023796666,0.9050877457998111,0.013407792116681996,8,0.9173151348237751,0.8878576710195732,0.9104692395501905,0.9009970126053481,0.9005625315403569,0.9034403179078488,0.009989860490792545
0.05000081062316895,0.0053298886354484895,0.002200460433959961,0.00040061832473026914,32,{'SVM__max_iter': 32},0.905002856003535,0.933975951326637,0.9244266839471506,0.9080336249414984,0.9169294740252728,0.9176713300235559,0.010634341557681665,7,0.9218989631709689,0.9155767533739749,0.9116009817652884,0.9169601437835475,0.9218075761623719,0.9175688836512303,0.003915893334593275
0.07959971427917481,0.00714339707239539,0.002399587631225586,0.0010197790747297824,64,{'SVM__max_iter': 64},0.9031275933050965,0.9395129063613781,0.9320912985563596,0.9125319508946251,0.9163516578464197,0.9207197652434943,0.013253114706795193,6,0.922202721676207,0.9211275188432549,0.9228195662205814,0.9229824966199531,0.9262036609752347,0.9230671928670462,0.0016979735193668876
0.12939977645874023,0.024679791663268603,0.002001237869262695,2.1024139103935817e-06,128,{'SVM__max_iter': 128},0.9126494013169947,0.933975951326637,0.9320912985563596,0.9203639701911654,0.9176080930266048,0.9233357284957714,0.008315666544724607,1,0.9279741332757317,0.9214304412006791,0.9208272951259859,0.9259378449199449,0.9265608934657826,0.924546121597625,0.002873485625992286
0.2096005916595459,0.020813036967022892,0.0024003028869628907,0.0007988741903110536,256,{'SVM__max_iter': 256},0.9098957828144028,0.9348219750153004,0.9331551283435936,0.9161086510422293,0.9184541167152681,0.9224847577465863,0.009813311760128063,5,0.9265417431688087,0.9215275922462671,0.9235340312016773,0.9267781339982784,0.927146835709486,0.9251056672649035,0.0022044721975749476
0.3133989334106445,0.014064454831640948,0.0017998695373535156,0.00040021819029300963,512,{'SVM__max_iter': 512},0.9115878301917294,0.9312200741620765,0.9348471757209201,0.9193001404039313,0.9176080930266046,0.9229105283564407,0.008728520412671931,2,0.9274422183821146,0.920524372768562,0.9235883413348013,0.9273097661088577,0.9272554559757338,0.9252240309140138,0.0027625930504397416
0.5201968669891357,0.03617501644643516,0.0020003318786621094,1.7777778513247727e-06,1024,{'SVM__max_iter': 1024},0.9115878301917294,0.9312200741620765,0.9348471757209201,0.9193001404039313,0.9176080930266046,0.9229105283564407,0.008728520412671931,2,0.9278652302264463,0.9202585567132722,0.9233768354126354,0.927043950053568,0.927043950053568,0.9251177044918979,0.002884846057430754
0.5260061264038086,0.08418626995592761,0.0011942863464355468,0.00040303261077346284,2048,{'SVM__max_iter': 2048},0.9115878301917294,0.9312200741620765,0.9348471757209201,0.9193001404039313,0.9176080930266046,0.9229105283564407,0.008728520412671931,2,0.9278652302264463,0.9202585567132722,0.9233768354126354,0.927043950053568,0.927043950053568,0.9251177044918979,0.002884846057430754
