mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_SVM__max_iter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.016599321365356447,0.0013566631376979914,0.0024003982543945312,0.0008000145422466396,1,{'SVM__max_iter': 1},0.5545461574145663,0.5487552188031545,0.5597185712076697,0.515849698469151,0.5157414566259471,0.5389222205040977,0.019198815326707995,7,0.5509451832379773,0.5446632905520333,0.5449087675892994,0.5272750115973402,0.4902601670017008,0.5316104839956701,0.022134569057216048
0.015410757064819336,0.005082608239155633,0.007850360870361329,0.006391347733538945,2,{'SVM__max_iter': 2},0.5321246327508892,0.5912865316220813,0.5212617906293489,0.49808257306324405,0.44730941704035865,0.5180129890211844,0.04685066022380713,8,0.5211110252048862,0.5981212308643883,0.5269290242770991,0.5072000154631204,0.4686717179526827,0.5244066027524352,0.04207971926995243
0.018751907348632812,0.006250357634007391,0.0031252384185791017,0.0062504768371582035,4,{'SVM__max_iter': 4},0.5214318849543838,0.5321169011906602,0.5057445492500385,0.4903200865934745,0.5291247873820937,0.5157476418741301,0.01565780138784116,9,0.5099872429256223,0.5199628885109014,0.5243428173805473,0.5036608937683624,0.5471451213854954,0.5210197927941859,0.014951527447458746
0.02703518867492676,0.003685526087400022,0.0024653911590576173,0.0021449320736226097,8,{'SVM__max_iter': 8},0.5003247255296119,0.5741070047935672,0.463940003092624,0.47868408844904886,0.48075614659038185,0.49956239369104677,0.039028229439712,11,0.4796138085665686,0.5599505180145352,0.4846064635843512,0.496379696922839,0.4983454461110251,0.5037791866398639,0.028951874755873498
0.031480598449707034,0.008907979166713233,0.003125286102294922,0.006250572204589844,16,{'SVM__max_iter': 16},0.5051492191124168,0.5538580485541982,0.5057522808102675,0.4651538580485541,0.4580794804391525,0.4975985773929178,0.034359982545155376,12,0.4882093706509973,0.5263162981289624,0.5102752435441471,0.4770082727694448,0.4707978970156176,0.49452141642183384,0.020825249420784862
0.04687824249267578,0.017121466520078104,0.0031250476837158202,0.0062500953674316405,32,{'SVM__max_iter': 32},0.5487010978815525,0.5219653626101747,0.5198159888665532,0.5273929178908303,0.4421292716870264,0.5120009277872274,0.036403926468173496,10,0.5241282665841965,0.5085395082727693,0.5267743930725219,0.5543586670790165,0.4688147518169165,0.516523117365084,0.028050960510637768
0.06875023841857911,0.00765523954510689,0.003125429153442383,0.006250858306884766,64,{'SVM__max_iter': 64},0.6318926859440235,0.6026596567187259,0.6548399567032627,0.5786067728467604,0.5982062780269057,0.6132410700479356,0.026891991254931188,6,0.5968010669553114,0.5930918509355186,0.6394212927168702,0.5912826658419668,0.6235310035565175,0.608825576001237,0.019247026263931093
0.11874828338623047,0.01593965554121622,0.018749523162841796,0.006253576512292987,128,{'SVM__max_iter': 128},0.6786995515695067,0.6881939075305397,0.6745708984072984,0.7044069893304469,0.6227539817535178,0.6737250657182619,0.027474497858544167,5,0.6605767743930724,0.6707147827431574,0.6729086129580949,0.7132692902427709,0.663706123395701,0.6762351167465595,0.019053761209567706
0.18750200271606446,0.009883097912225093,0.040628814697265626,0.007653976239186668,256,{'SVM__max_iter': 256},0.9017859904128653,0.8938688727385187,0.9171408690273697,0.8841116437297046,0.8689423225606927,0.8931699396938302,0.016237982930346232,4,0.9101747332611718,0.9347147054275552,0.9357430029379928,0.8963333075614658,0.9028471470542753,0.9159625792484922,0.01633235700901004
0.343751049041748,0.026143175166829968,0.06562576293945313,0.01530930160782134,512,{'SVM__max_iter': 512},0.9287845987320243,0.9138704190505645,0.9160275243544147,0.9183547239832998,0.9252512757074376,0.9204577083655483,0.0056525542056723955,1,0.9432909386114116,0.9442187258388743,0.9413735116746559,0.9420635534250812,0.9390675738363998,0.9420028606772846,0.0017654957260638193
0.36875076293945314,0.021197326557244586,0.05937380790710449,0.006249166834587081,1024,{'SVM__max_iter': 1024},0.9269754136384725,0.9121462811195301,0.9188727385186329,0.9205968764496676,0.9235271377764032,0.9204236895005412,0.004970058602353986,2,0.9435074222978196,0.9394560847379,0.9409424771918973,0.9419127880006186,0.9393478428946959,0.9410333230245863,0.0015640589953350625
0.3718756675720215,0.011694387178794678,0.06874656677246094,0.012500882209106126,2048,{'SVM__max_iter': 2048},0.9269754136384725,0.9121462811195301,0.9188727385186329,0.9205968764496676,0.9235271377764032,0.9204236895005412,0.004970058602353986,2,0.9435074222978196,0.9394560847379,0.9409424771918973,0.9419127880006186,0.9393478428946959,0.9410333230245863,0.0015640589953350625
