param_SVM__max_iter,train acc,test acc
1,0.7423086438843357,0.8903107319529607
2,0.8729271687026441,0.8703827127580793
4,0.9086701716406371,0.860355756983323
8,0.910034018865007,0.8684350839776058
16,0.9170078861914334,0.9187698095322728
32,0.9165223442090614,0.9048624070618205
64,0.9231622081336014,0.9112014573891406
128,0.9206989330446882,0.9258049705263782
256,0.9200432967372815,0.9275970852217186
512,0.9196118756765115,0.9306999614917504
1024,0.9193366321323644,0.930218608371101
2048,0.9170264419359826,0.9283598447821322
