param_SVM__max_iter,train acc,test acc
1,0.9051770527292408,0.8985233567345005
2,0.913919901036029,0.9202286797594715
4,0.9246435750734497,0.9323439675345834
8,0.92519560847379,0.9331733759886252
16,0.92519560847379,0.9331733759886252
32,0.92519560847379,0.9331733759886252
64,0.92519560847379,0.9331733759886252
128,0.92519560847379,0.9331733759886252
256,0.92519560847379,0.9331733759886252
512,0.92519560847379,0.9331733759886252
1024,0.92519560847379,0.9331733759886252
2048,0.92519560847379,0.9331733759886252
