param_MLP__max_iter,train acc,test acc
1,0.9266335886158533,0.9080999788277965
2,0.9427553958750318,0.9202521333296513
4,0.9537938638632371,0.9273103016578756
8,0.9728537591736532,0.9466575534137879
16,0.9821880885910232,0.9539631143391051
32,0.9904188806865494,0.9585991365423029
64,0.982584003207045,0.9534602745022231
128,0.982584003207045,0.9534602745022231
256,0.982584003207045,0.9534602745022231
512,0.982584003207045,0.9534602745022231
1024,0.982584003207045,0.9534602745022231
2048,0.982584003207045,0.9534602745022231
2100,0.982584003207045,0.9534602745022231
2200,0.982584003207045,0.9534602745022231
2300,0.982584003207045,0.9534602745022231
2400,0.982584003207045,0.9534602745022231
2500,0.982584003207045,0.9534602745022231
2600,0.982584003207045,0.9534602745022231
2700,0.982584003207045,0.9534602745022231
2800,0.982584003207045,0.9534602745022231
2900,0.982584003207045,0.9534602745022231
3000,0.982584003207045,0.9534602745022231
