param_Boost__n_estimators,train acc,test acc
1,0.9993273542600897,0.9069211173316745
2,0.9989655172413793,0.9131935187653661
5,0.9993273542600897,0.9113347551763974
10,0.9993273542600897,0.9113347551763974
20,0.9993273542600897,0.9113347551763974
30,0.9993273542600897,0.9113347551763974
40,0.9993273542600897,0.9113347551763974
50,0.9993273542600897,0.9113347551763974
60,0.9993273542600897,0.9113347551763974
70,0.9993273542600897,0.9113347551763974
80,0.9993273542600897,0.9113347551763974
90,0.9993273542600897,0.9113347551763974
100,0.9993273542600897,0.9113347551763974
