mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_DT__class_weight,param_DT__criterion,param_DT__max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.015399599075317382,0.002059602354901602,0.0022000789642333983,0.0007489784840735393,balanced,gini,1,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 1}",0.8556209382779916,0.8985851603844908,0.8785397991143752,0.8836411419519746,0.8868830327249163,0.88064929660982,0.014147623621285417,197,0.8869122835439391,0.8761648005569994,0.8811724646950401,0.8798976945517154,0.8790887771651866,0.8806472041025761,0.0035386302357832303
0.015999603271484374,0.0024484557879504362,0.002001333236694336,0.0006324104543468924,balanced,gini,2,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 2}",0.8779300979663098,0.9147604132915721,0.9062245742880801,0.9045073262051337,0.9079166216654067,0.9022632198554232,0.012659991764971396,191,0.9062371746408899,0.8970242769668365,0.899156540019484,0.8995852864741457,0.9114238835051018,0.9026854323212916,0.005349543301914079
0.01739950180053711,0.0027278512225928945,0.0015995025634765625,0.0004901354246948168,balanced,gini,3,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 3}",0.8923125006735857,0.9257587212441948,0.9087626453540699,0.9138135867804298,0.9104546927313965,0.9102170543230597,0.010746316334173295,189,0.9172354825935126,0.9088686086081225,0.900425575552479,0.9118526299597633,0.9126929190380968,0.9102150431503949,0.005581302558987891
0.017799854278564453,0.003654983362398845,0.0019999980926513673,8.064048063892252e-07,balanced,gini,4,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 4}",0.893158524362249,0.9266047449328582,0.9197609533066926,0.9155056341577564,0.9104546927313965,0.9130931521926616,0.011291129410511701,181,0.9180815062821759,0.9097146322967856,0.9114238835051016,0.9124871477262608,0.9137504486489259,0.9130915236918501,0.0028243157736029703
0.017000627517700196,0.0006327130744357622,0.0015996932983398438,0.0004902912052913423,balanced,gini,5,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 5}",0.893158524362249,0.9266047449328582,0.9153796306296575,0.9091892572992044,0.9104546927313965,0.9109540155158321,0.010814461102372126,187,0.9180815062821759,0.9097146322967856,0.9115891752146092,0.9131354960235538,0.9137504486489259,0.9132542516932102,0.002787977271993534
0.01760101318359375,0.0004891036603001345,0.0017989635467529296,0.0003990419842452641,balanced,gini,6,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 6}",0.9135115910634033,0.9285649998199949,0.9383068725924326,0.933615941246355,0.9192083378334595,0.9266390739620435,0.009123091761490025,175,0.9340367030276848,0.9285133596180885,0.9282418089524687,0.9294136934398757,0.9319517645058656,0.9304314659087967,0.002227942218056935
0.020399045944213868,0.0028700436456172355,0.001599740982055664,0.0004899409889602823,balanced,gini,7,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 7}",0.9150365891773632,0.9357436008208229,0.9431652086258415,0.9257587212441949,0.9225924325881125,0.9284567807661797,0.009912460671356272,174,0.940432282103899,0.9367077804494316,0.9372508817806706,0.9413180698246154,0.938754361677151,0.9388926751671536,0.0017743342321594425
0.02319931983947754,0.005381199627204322,0.0018004894256591797,0.00040052085768667106,balanced,gini,8,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 8}",0.9109411878819231,0.9410375490513734,0.9431904093314613,0.9295784281959896,0.9306170572776037,0.9310691322017098,0.0114377790400446,171,0.9449742592792599,0.9450280253780121,0.945371090007745,0.9520792347735977,0.9473545905218361,0.9469614399920901,0.0027041665293671114
0.021199798583984374,0.003542654411454309,0.0012003421783447266,0.0003998797064168983,balanced,gini,9,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 9}",0.9166801383814542,0.9477805378550599,0.9484843575620118,0.9257839219498147,0.9391276955754762,0.9355677699195158,0.012500546121746397,165,0.9525070201965655,0.9537112374074704,0.9551546725604967,0.9576242656325478,0.9578671432465181,0.9553728678087197,0.0021124350599975813
0.020399141311645507,0.0013564666218191803,0.0020012855529785156,9.887905766166553e-07,balanced,gini,10,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 10}",0.9273120156918533,0.9480235446592504,0.941473161248515,0.9283219930158044,0.9401915253627101,0.9370626099948155,0.008011076797628231,161,0.9619244338841488,0.9600422472116301,0.961819976413885,0.9640352226513061,0.963595006975985,0.9622833774273911,0.0014251722262133288
0.020400094985961913,0.0033835113038840894,0.0017998695373535156,0.0004006884629419512,balanced,gini,11,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 11}",0.9353896558785174,0.9442038377074559,0.9440364330201245,0.9365644238038665,0.9419087734456564,0.9404196766051061,0.0037361205730908624,155,0.9699994599848795,0.9676679296302594,0.9690455854295019,0.9691170993936157,0.9697630863807728,0.9691186321638059,0.0008125336797645791
