param_Boost__n_estimators,train acc,test acc
1,0.9507996381278515,0.9469049460108806
2,0.9507996381278515,0.9469049460108806
5,0.9726009236808183,0.9543658464739078
10,0.988040658077601,0.9660600370053299
20,0.9920674573443563,0.9663891266926257
30,0.992110928063876,0.9655387865565713
40,0.992110928063876,0.9655387865565713
50,0.992110928063876,0.9655387865565713
60,0.992110928063876,0.9655387865565713
70,0.992110928063876,0.9655387865565713
80,0.992110928063876,0.9655387865565713
90,0.992110928063876,0.9655387865565713
100,0.992110928063876,0.9655387865565713
