mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_MLP__activation,param_MLP__alpha,param_MLP__hidden_layer_sizes,param_MLP__learning_rate_init,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.20352349281311036,0.042618349317829346,0.0,0.0,relu,10.0,"(57,)",1e-06,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (57,), 'MLP__learning_rate_init': 1e-06}",0.5325653316839337,0.5147131591155095,0.5041982372042677,0.5292871501468995,0.5412633369413947,0.524405443018401,0.013242922404894043,2943,0.5177091387041903,0.5276905829596411,0.5280558991804546,0.5367655017782588,0.5176028297510437,0.5255647904747177,0.007228895258380018
0.7320070743560791,0.20879708853295106,0.0009999275207519531,0.001265045871292244,relu,10.0,"(57,)",0.001,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (57,), 'MLP__learning_rate_init': 0.001}",0.8931807638781508,0.8914566259471163,0.8782665841966907,0.8631823101901963,0.899304159579403,0.8850780887583113,0.012919302498743915,2769,0.8994529921138085,0.9079654399257768,0.8931595020875212,0.8759838410391216,0.8667600896860986,0.8886643729704653,0.015163938740816278
0.5189453125,0.11351063738395757,0.0031254768371582033,0.006250953674316407,relu,10.0,"(57,)",0.002,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (57,), 'MLP__learning_rate_init': 0.002}",0.9001623627648059,0.8943018401113345,0.8874052883871965,0.8412865316220812,0.9258543374052882,0.8898020720581413,0.027520361947069364,2757,0.9039353641564866,0.9095175506417194,0.9070395855883717,0.8627512757074377,0.8984826813050872,0.8963452914798206,0.017196580311944303
0.43206052780151366,0.07282571284530007,0.0,0.0,relu,10.0,"(57,)",0.004,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (57,), 'MLP__learning_rate_init': 0.004}",0.8932658110406682,0.8914566259471163,0.8874903355497139,0.8982681305087368,0.9252512757074377,0.8991464357507346,0.013504174783791173,2710,0.9024702334931188,0.9070821091696305,0.9066935982681305,0.8978583578166074,0.8974273233338484,0.9023063244162671,0.0041393771628376015
0.333100414276123,0.049842269982453356,0.0,0.0,relu,10.0,"(57,)",0.008,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (57,), 'MLP__learning_rate_init': 0.008}",0.8995593010669553,0.8943018401113345,0.8908535642492654,0.9091309726302768,0.9206819236121848,0.9029055203340034,0.010818751425439765,2668,0.905207205814133,0.9086554816762021,0.9088062471006648,0.9024489717024895,0.8988924539972164,0.9048020720581412,0.0037817187554273356
0.30160837173461913,0.1118191943117079,0.0,0.0,relu,10.0,"(57,)",0.016,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (57,), 'MLP__learning_rate_init': 0.016}",0.8997293953919901,0.8857661976186795,0.9000773156022884,0.9092160197927941,0.9327508891294262,0.9055079635070357,0.015547011188017289,2609,0.9107661976186794,0.908698005257461,0.908137467140869,0.9092160197927941,0.9065640946342971,0.9086763568888202,0.0013719470084736268
0.21620025634765624,0.01702340048986677,0.005124139785766602,0.005417977305965104,relu,10.0,"(57,)",0.032,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (57,), 'MLP__learning_rate_init': 0.032}",0.8999922684397713,0.8880933972475648,0.8908535642492654,0.9046466676975413,0.9212849853100356,0.9009741765888356,0.011792553209820707,2690,0.8969112416885726,0.9110909231482914,0.9100993505489406,0.9044533786918199,0.8972321014380701,0.9039573991031389,0.00606192529832513
0.19944348335266113,0.016581408915869015,0.012563323974609375,0.006122517597591903,relu,10.0,"(57,)",0.064,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (57,), 'MLP__learning_rate_init': 0.064}",0.9025746095562085,0.8910236585743003,0.9031776712540589,0.8980052574609555,0.9184397711458172,0.9026441935982682,0.009014946179962489,2675,0.9078571980825729,0.9136751971547857,0.9132209679913406,0.9044939693830214,0.9005508736663057,0.9079596412556052,0.005045004491201076
0.20937399864196776,0.030618047527651824,0.0031250476837158202,0.006250095367431641,relu,10.0,"(57,)",0.128,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (57,), 'MLP__learning_rate_init': 0.128}",0.8752512757074379,0.854561620535024,0.8923998762950363,0.8910236585743002,0.8964589454151849,0.8819390753053967,0.015472791161816052,2778,0.855703958558837,0.8680106695531159,0.9027659656718725,0.89785642492655,0.8708520179372196,0.8790378073295191,0.018167219272915733
0.15312862396240234,0.0347978043164125,0.0,0.0,relu,10.0,"(28,)",1e-06,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (28,), 'MLP__learning_rate_init': 1e-06}",0.5346296582650379,0.5765347147054275,0.5567032627184165,0.5419591773619916,0.5769599505180145,0.5573573527137776,0.01735576438233191,2859,0.5671775939384566,0.5543953919901035,0.5604955930106694,0.5617674346683159,0.5511210762331836,0.5589914179681458,0.005657703104811974
