param_SVM__max_iter,train acc,test acc
1,0.5445074996134219,0.5326431470126484
2,0.5204499768053192,0.505428182114399
4,0.513777640327818,0.5158994638466778
8,0.5118803154476572,0.5113525282146982
16,0.496132673573527,0.4873367102106104
32,0.49491881861759696,0.5101676589946385
64,0.5763352404515231,0.5702257175864213
128,0.6713313746714086,0.6525519120827037
256,0.7944255450749961,0.787449272786516
512,0.9437173341580329,0.9326253739743475
1024,0.9421493737436214,0.92663437898042
2048,0.9424942013298283,0.92663437898042
