mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_DT__class_weight,param_DT__criterion,param_DT__max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.026800918579101562,0.005945599630957201,0.0015025138854980469,6.685930346043056e-06,balanced,gini,1,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 1}",0.7708984072985928,0.7908303695685789,0.7661666924385342,0.8026441935982681,0.7757383640018555,0.781255605381166,0.01352430858502481,197,0.7880586052265344,0.7870998917581566,0.7919901036029071,0.784125173960105,0.790851631359208,0.7884250811813822,0.002792030242529064
0.033001375198364255,0.00824727325741109,0.0015002250671386718,0.00031658563802232484,balanced,gini,2,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 2}",0.8453146745013144,0.829534560074223,0.7948121230864388,0.8477423844131746,0.8079171176743465,0.8250641719498993,0.020753681479980246,194,0.844344363692593,0.8234556208442864,0.8221644502860677,0.8424404669862378,0.8293006803772999,0.832341116437297,0.009357730958988732
0.035199975967407225,0.005598750356385992,0.0017006397247314453,0.0002445067792937384,balanced,gini,3,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 3}",0.8855883717334159,0.8811968455234266,0.8686949126333694,0.8860213391062316,0.8556749652079788,0.8754352868408845,0.01169827465351366,189,0.8767937219730939,0.8794069893304469,0.8758717334158033,0.8899219112416886,0.8867152466367711,0.8817419205195607,0.005586445918981028
0.03869786262512207,0.0018607472827874328,0.001502656936645508,0.0004472407591510487,balanced,gini,4,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 4}",0.9041286531622081,0.888603680222669,0.8789546930570589,0.8955079635070358,0.8671408690273695,0.8868671717952683,0.012863683940296584,185,0.9019502860677283,0.8976148136693985,0.8956162053502396,0.9082244471934434,0.9058334621926702,0.901847842894696,0.004760432356049
0.04520058631896973,0.00651615039484789,0.0016990184783935546,0.00024485494749045515,balanced,gini,5,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 5}",0.9283516313592084,0.891193752899335,0.9059378382557599,0.9152466367713006,0.9004175042523582,0.9082294727075924,0.012732918355896693,167,0.9209370650997369,0.9161763568888202,0.9190640946342971,0.9260476264110097,0.9256610483995669,0.9215772382866861,0.0038093859773146365
0.0507014274597168,0.0031690642247497076,0.0030989646911621094,0.0031971934337743846,balanced,gini,6,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 6}",0.9249884026596568,0.9208520179372196,0.91214628111953,0.9197309417040358,0.9147286222359672,0.9184892531312818,0.00455497598906348,39,0.9368872738518632,0.9335704345136847,0.9309842276171332,0.9343687181073139,0.9363093397247563,0.9344239987629503,0.00210646092392099
0.0543006420135498,0.007046218976814103,0.002298450469970703,0.0018608891638910944,balanced,gini,7,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 7}",0.9180068037730014,0.924818308334622,0.9049868563476109,0.9221431884954385,0.9222282356579558,0.9184366785217257,0.007069962228842208,40,0.9459834544611101,0.9463507035719808,0.9411125715169321,0.9438070202566878,0.9457263800835006,0.9445960259780423,0.0019513347569795937
0.06200032234191895,0.008044764241516988,0.0022003650665283203,0.0011665482080517164,balanced,gini,8,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 8}",0.9202489562393691,0.9208520179372198,0.9025746095562084,0.9158496984691511,0.9243853409618061,0.9167821246327508,0.007604140380681676,50,0.9536357661976185,0.9548438224833771,0.9520855883717335,0.950877532085975,0.9513955466213081,0.9525676511520025,0.0014686416644496551
0.07169718742370605,0.015898214393378587,0.003901243209838867,0.004067040441832556,balanced,gini,9,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 9}",0.9254213700324726,0.9243002937992888,0.8980052574609555,0.9175738364001856,0.9266274934281737,0.9183856502242151,0.010662380523210719,41,0.9584641255605378,0.9589608783052419,0.9579693057058914,0.9564384567805783,0.9587250657182618,0.9581115664141023,0.0008990599525351173
0.06829557418823243,0.009705857329193024,0.0016021728515625,0.0004895906800122129,balanced,gini,10,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 10}",0.9288696458945417,0.9221431884954384,0.9019715478583579,0.9131745786299674,0.9271455079635069,0.9186608937683625,0.0099696298354754,38,0.9631842430802533,0.9631629812896243,0.9633156796041441,0.9629677593938457,0.961850548940776,0.9628962424617289,0.000534529903065688
0.09389915466308593,0.008248356475800293,0.002003049850463867,0.0007804208138440333,balanced,gini,11,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 11}",0.9150765424462657,0.9288696458945417,0.8923998762950364,0.9142106077006338,0.9163677130044843,0.9133848770681923,0.011769360187422221,67,0.9672587753208597,0.9675390443791556,0.9692844441008196,0.971116823875058,0.9654283284366783,0.9681254832225141,0.0019318926605560538
0.07889881134033203,0.009398886537640183,0.0015012264251708985,0.000316959638296711,balanced,gini,12,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 12}",0.9207669707747025,0.9288696458945417,0.8979202102984382,0.9199010360290707,0.9283516313592083,0.9191618988711922,0.011251874941058611,34,0.9703842585433738,0.9739832998299056,0.9759026596567189,0.9745225761558683,0.9717643420442243,0.9733114272460182,0.00197962466606306
