param_MLP__max_iter,train acc,test acc
1,0.9314040513375599,0.9249755620723361
2,0.9321323643111179,0.9265010811931632
4,0.9451847842894695,0.9324920761870908
8,0.9566862532859131,0.924775615391451
16,0.9596304314210609,0.928893035931159
32,0.9692345755373434,0.9304037441867354
64,0.9692345755373434,0.9304037441867354
128,0.9692345755373434,0.9304037441867354
256,0.9692345755373434,0.9304037441867354
512,0.9692345755373434,0.9304037441867354
1024,0.9692345755373434,0.9304037441867354
2048,0.9692345755373434,0.9304037441867354
2100,0.9692345755373434,0.9304037441867354
2200,0.9692345755373434,0.9304037441867354
2300,0.9692345755373434,0.9304037441867354
2400,0.9692345755373434,0.9304037441867354
2500,0.9692345755373434,0.9304037441867354
2600,0.9692345755373434,0.9304037441867354
2700,0.9692345755373434,0.9304037441867354
2800,0.9692345755373434,0.9304037441867354
2900,0.9692345755373434,0.9304037441867354
3000,0.9692345755373434,0.9304037441867354
