mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_MLP__activation,param_MLP__alpha,param_MLP__hidden_layer_sizes,param_MLP__learning_rate_init,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.20099964141845703,0.033787843849904374,0.014400339126586914,0.011894035980717832,relu,10.0,"(15,)",0.002,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (15,), 'MLP__learning_rate_init': 0.002}",0.9005571901236165,0.9286568023904668,0.9290672138819888,0.9179933038125068,0.9127245562875761,0.9177965636529484,0.010659318250084636,2501,0.9248789466105051,0.9184292160180486,0.9173059070534356,0.9239455738253495,0.9204299203631291,0.9209979127740937,0.002976671092252626
0.12160043716430664,0.01757896630007518,0.009198141098022462,0.00499454827381349,relu,10.0,"(15,)",0.004,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (15,), 'MLP__learning_rate_init': 0.004}",0.8997111664349531,0.9343863628181589,0.9303488497677934,0.9171472801238435,0.916108651042229,0.919536724891598,0.012232392423056748,2318,0.9246674406883393,0.9187436075961324,0.9169257361215681,0.9215589639380717,0.9223564121039409,0.9208504320896104,0.0027269578549916486
0.11259846687316895,0.012753100244583248,0.009200477600097656,0.008159208868308851,relu,10.0,"(15,)",0.008,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (15,), 'MLP__learning_rate_init': 0.008}",0.9014032138122796,0.9295028260791303,0.9314126795550276,0.9212099938798286,0.9135705799762392,0.9194164631375368,0.011024549410178422,2345,0.9251449040573135,0.9188464932520504,0.9181262936606243,0.9204643280251082,0.9253461680659116,0.9215856374122016,0.0030834161091799024
0.08579511642456054,0.011213429997017943,0.007800626754760742,0.008183720358634908,relu,10.0,"(15,)",0.016,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (15,), 'MLP__learning_rate_init': 0.016}",0.9024647849375451,0.9280033840947547,0.9296954314720812,0.9159160456492782,0.9146596104690932,0.9181448956015225,0.009937043744288034,2484,0.9259364762213341,0.9180976206089752,0.9165027242772366,0.9226509012108799,0.921587636989721,0.9209550718616294,0.003348993636646277
0.08239955902099609,0.022347032961638383,0.0070002079010009766,0.004048939042178042,relu,10.0,"(15,)",0.032,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (15,), 'MLP__learning_rate_init': 0.032}",0.8960953581859527,0.9376282535911006,0.9284893977031358,0.9182111099110775,0.9095582676314937,0.9179923497906775,0.014468387503555268,2493,0.9217900601216833,0.9186923334331831,0.9209703230542129,0.9210873765709459,0.9195211532908568,0.9204122492941764,0.0011329402891505811
0.06739792823791504,0.010249087510899639,0.005800867080688476,0.0023151522639769232,relu,10.0,"(15,)",0.064,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (15,), 'MLP__learning_rate_init': 0.064}",0.910326877687607,0.9308096626705548,0.9301310436692227,0.9167368686323218,0.9169294740252728,0.9209847763080382,0.008103194078574965,2135,0.9224268279511827,0.9199698022166631,0.917245862309982,0.9226650690716949,0.9195666928434763,0.9203748508785997,0.0020031706152598256
0.07339725494384766,0.015805681369968287,0.004200363159179687,0.0015992647740169965,relu,10.0,"(15,)",0.128,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (15,), 'MLP__learning_rate_init': 0.128}",0.8876189552415747,0.9147100118803327,0.9136209813874788,0.894086834431364,0.9044065233826548,0.9028857834459808,0.010658139245665508,2756,0.9021785109983079,0.9041925398791549,0.9057503299087589,0.908234090841625,0.9138874046368035,0.9068485752529302,0.0040381911650350264
0.22359681129455566,0.027271828247281728,0.0037994861602783205,0.0007480872852497435,relu,10.0,"(60,)",1e-06,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (60,), 'MLP__learning_rate_init': 1e-06}",0.5339433325789174,0.5470335169384742,0.5401897253123087,0.5402401267235483,0.5410357490009721,0.5404872565719199,0.004150928313137582,2926,0.5412243042805198,0.5399655113788162,0.5411974406096768,0.5408715798109334,0.5411974406096768,0.5408912553379246,0.00048079297907265033
0.5247997760772705,0.08944127187469564,0.0036009788513183595,0.0004899019393932584,relu,10.0,"(60,)",0.001,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (60,), 'MLP__learning_rate_init': 0.001}",0.9101113302510049,0.9204395723080246,0.927207761817331,0.9053281491881772,0.909147856139972,0.914446116827504,0.008108466058776296,2635,0.9251093530618858,0.9164629193349473,0.9169173028710831,0.9191153452775147,0.9166686906467831,0.9188547222384427,0.0032692928948010306
0.3803982734680176,0.04608015462021637,0.0036000728607177733,0.0004886750732262974,relu,10.0,"(60,)",0.002,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (60,), 'MLP__learning_rate_init': 0.002}",0.907772640563872,0.9227598372754438,0.9339759513266372,0.9093656622385428,0.9123393455016742,0.9172409026004542,0.009861095252566081,2518,0.9240999747992944,0.9186265540793995,0.9197755001254866,0.9211275188432549,0.9202814951545917,0.9207822086004054,0.0018459595898357168
