param_Boost__n_estimators,train acc,test acc
1,0.9571161280346373,0.911268106282769
2,0.9571161280346373,0.911268106282769
5,0.9806865625483221,0.931033205959892
10,0.9840497912478738,0.9373722562872122
20,0.9875846605845059,0.9437113066145324
30,0.9884985310035564,0.9423338961462129
40,0.9882743157569198,0.9437113066145324
50,0.9882743157569198,0.9437113066145324
60,0.9882743157569198,0.9437113066145324
70,0.9882743157569198,0.9437113066145324
80,0.9882743157569198,0.9437113066145324
90,0.9882743157569198,0.9437113066145324
100,0.9882743157569198,0.9437113066145324
