,train,test
0.1,0.0021534343999974224,0.0029967544000101044
0.2,0.003387101799989978,0.0027942812000219417
0.3,0.004256374000078722,0.0022423643999900378
0.4,0.005779610599938678,0.0010292193999703158
0.5,0.00765595839998241,0.0010046067999610387
0.6,0.008796816800031592,0.0007892282000739215
0.7,0.012828714399984165,0.0006324545999632392
0.8,0.015311705200019787,0.0005448643999898195
0.9,0.016399741200029894,0.0004421822000040265
