param_SVM__max_iter,train acc,test acc
1,0.8897315539126888,0.8583429989045687
2,0.8695394766672354,0.8856171697366364
4,0.8930823259138027,0.8959317150405496
8,0.880548508356958,0.9028241878618837
16,0.8972180898649168,0.9094715694126095
32,0.9150814608176957,0.9076339602146679
64,0.9253019739593116,0.9125990721051616
128,0.9249883226419834,0.9149395211399852
256,0.9249495300628094,0.9178196312354441
512,0.9243115036910527,0.9184962212219124
1024,0.9243115036910527,0.9184962212219124
2048,0.9243115036910527,0.9184962212219124
