param_Boost__n_estimators,train acc,test acc
1,0.9923670742406479,0.951467325766572
2,0.9923670742406479,0.951467325766572
5,0.9917631623077192,0.9567247061206079
10,0.9917631623077192,0.9567247061206079
20,0.9923670742406479,0.9541920963243214
30,0.9923670742406479,0.9541920963243214
40,0.9923670742406479,0.9541920963243214
50,0.9923670742406479,0.9541920963243214
60,0.9923670742406479,0.9541920963243214
70,0.9923670742406479,0.9541920963243214
80,0.9923670742406479,0.9541920963243214
90,0.9923670742406479,0.9541920963243214
100,0.9923670742406479,0.9541920963243214
