param_MLP__max_iter,train acc,test acc
1,0.8741374408844996,0.8745259267441756
2,0.9072044800750806,0.9045985105814993
4,0.9231223923865786,0.9205444017931936
8,0.9350522980104948,0.9229216720517708
16,0.9456238875922043,0.9241011018751211
32,0.9584820802034775,0.9334364327598429
64,0.9711663899366724,0.9444540333047969
128,0.9862957837000633,0.958736065468136
256,0.9876106290227509,0.9612870858762993
512,0.9876106290227509,0.9612870858762993
1024,0.9876106290227509,0.9612870858762993
2048,0.9876106290227509,0.9612870858762993
2100,0.9876106290227509,0.9612870858762993
2200,0.9876106290227509,0.9612870858762993
2300,0.9876106290227509,0.9612870858762993
2400,0.9876106290227509,0.9612870858762993
2500,0.9876106290227509,0.9612870858762993
2600,0.9876106290227509,0.9612870858762993
2700,0.9876106290227509,0.9612870858762993
2800,0.9876106290227509,0.9612870858762993
2900,0.9876106290227509,0.9612870858762993
3000,0.9876106290227509,0.9612870858762993
