,train,test
0.1,0.003433223800129781,0.003705021400037367
0.2,0.005703445399922203,0.0038931074001084197
0.3,0.011316761399939423,0.003248523000092973
0.4,0.01277539840011741,0.002893789599875163
0.5,0.014780169799996657,0.0019122441999570583
0.6,0.019161792999966565,0.0015553954000097291
0.7,0.02355695719998039,0.0012900152000838716
0.8,0.025680701399960527,0.0009019250000164902
0.9,0.031186892399909995,0.0006466296001235606
