mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_SVM__C,param_SVM__class_weight,param_SVM__max_iter,param_SVM__tol,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.03759851455688477,0.004799566960189811,0.004403018951416015,0.004317031971093785,0.001,balanced,189,0.03000001,"{'SVM__C': 0.001, 'SVM__class_weight': 'balanced', 'SVM__max_iter': 189, 'SVM__tol': 0.03000001}",0.909911948872148,0.9318986931634086,0.9333729344421644,0.9231450480613458,0.9155308348633762,0.922769468219914,0.009096249199434199,91,0.9256120171364799,0.9214476450316686,0.9211275188432547,0.9254291512506848,0.9250004047960233,0.9237233474116223,0.002001242759311681
0.040798521041870116,0.00466629809444366,0.0023993968963623045,0.0004879753870315079,0.001,balanced,189,0.04000001,"{'SVM__C': 0.001, 'SVM__class_weight': 'balanced', 'SVM__max_iter': 189, 'SVM__tol': 0.04000001}",0.909911948872148,0.9318986931634086,0.9333729344421644,0.9231450480613458,0.9155308348633762,0.922769468219914,0.009096249199434199,91,0.9256120171364799,0.9214476450316686,0.9211275188432547,0.9254291512506848,0.9250004047960233,0.9237233474116223,0.002001242759311681
0.041800403594970705,0.012703743392056373,0.002000236511230469,2.5482920104765677e-06,0.001,balanced,189,0.050000010000000004,"{'SVM__C': 0.001, 'SVM__class_weight': 'balanced', 'SVM__max_iter': 189, 'SVM__tol': 0.050000010000000004}",0.909911948872148,0.9318986931634086,0.9333729344421644,0.9231450480613458,0.9155308348633762,0.922769468219914,0.009096249199434199,91,0.9256120171364799,0.9211818289763789,0.9211275188432547,0.9254291512506848,0.9250004047960233,0.9236701842005643,0.0020635515941208023
0.030398845672607422,0.003928002310771656,0.003199911117553711,0.0016000152404703767,0.001,balanced,189,0.06000001,"{'SVM__C': 0.001, 'SVM__class_weight': 'balanced', 'SVM__max_iter': 189, 'SVM__tol': 0.06000001}",0.9037580695571577,0.9318986931634086,0.9312452748676963,0.9212351945854484,0.9142491989775714,0.920474135228245,0.010634384240512128,97,0.9243848327753177,0.9211818289763789,0.9210188985770069,0.9248975191401053,0.9223965543762498,0.9227759267690118,0.0016038673248480607
0.029198408126831055,0.001722718701359916,0.0020001888275146484,1.0936112347774234e-06,0.001,balanced,189,0.07000001,"{'SVM__C': 0.001, 'SVM__class_weight': 'balanced', 'SVM__max_iter': 189, 'SVM__tol': 0.07000001}",0.9037580695571577,0.9318986931634086,0.9312452748676963,0.9212351945854484,0.9142491989775714,0.920474135228245,0.010634384240512128,97,0.9243848327753177,0.9211818289763789,0.9210188985770069,0.9248975191401053,0.9223965543762498,0.9227759267690118,0.0016038673248480607
0.028397798538208008,0.0013570430738244102,0.003601217269897461,0.0031991484073116247,0.001,balanced,189,0.08000001,"{'SVM__C': 0.001, 'SVM__class_weight': 'balanced', 'SVM__max_iter': 189, 'SVM__tol': 0.08000001}",0.9037580695571577,0.9318986931634086,0.9312452748676963,0.9212351945854484,0.9142491989775714,0.920474135228245,0.010634384240512128,97,0.9243848327753177,0.9211818289763789,0.9210188985770069,0.9248975191401053,0.9223965543762498,0.9227759267690118,0.0016038673248480607
0.02839946746826172,0.003322182256224424,0.0018007278442382813,0.00040004513062365753,0.001,balanced,189,0.09000000999999999,"{'SVM__C': 0.001, 'SVM__class_weight': 'balanced', 'SVM__max_iter': 189, 'SVM__tol': 0.09000000999999999}",0.9037580695571577,0.9318986931634086,0.9312452748676963,0.9212351945854484,0.9142491989775714,0.920474135228245,0.010634384240512128,97,0.9243848327753177,0.9211818289763789,0.9210188985770069,0.9248975191401053,0.9223965543762498,0.9227759267690118,0.0016038673248480607
0.01640000343322754,0.0010202938013641122,0.0017985820770263672,0.00040135625791141907,0.251,balanced,-1,1e-08,"{'SVM__C': 0.251, 'SVM__class_weight': 'balanced', 'SVM__max_iter': -1, 'SVM__tol': 1e-08}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,101,0.5,0.5,0.4999999999999999,0.5,0.5,0.5,4.965068306494546e-17
0.017399024963378907,0.001020553343176568,0.0016015052795410156,0.0004895386719621533,0.251,balanced,-1,0.01000001,"{'SVM__C': 0.251, 'SVM__class_weight': 'balanced', 'SVM__max_iter': -1, 'SVM__tol': 0.01000001}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,101,0.5,0.5,0.4999999999999999,0.5,0.5,0.5,4.965068306494546e-17
0.01719942092895508,0.004445492845208587,0.0024000167846679687,0.0010200777354117253,0.251,balanced,-1,0.020000010000000002,"{'SVM__C': 0.251, 'SVM__class_weight': 'balanced', 'SVM__max_iter': -1, 'SVM__tol': 0.020000010000000002}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,101,0.5,0.5,0.4999999999999999,0.5,0.5,0.5,4.965068306494546e-17
0.017601919174194337,0.00422476623288312,0.003000640869140625,0.0012651229988440804,0.251,balanced,-1,0.03000001,"{'SVM__C': 0.251, 'SVM__class_weight': 'balanced', 'SVM__max_iter': -1, 'SVM__tol': 0.03000001}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,101,0.5,0.5,0.4999999999999999,0.5,0.5,0.5,4.965068306494546e-17
0.015799903869628908,0.0003991859749331559,0.002400112152099609,0.0013571632895617283,0.251,balanced,-1,0.04000001,"{'SVM__C': 0.251, 'SVM__class_weight': 'balanced', 'SVM__max_iter': -1, 'SVM__tol': 0.04000001}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,101,0.5,0.5,0.4999999999999999,0.5,0.5,0.5,4.965068306494546e-17
0.01880016326904297,0.0030593054561620548,0.0029999732971191405,0.0015483436584073226,0.251,balanced,-1,0.050000010000000004,"{'SVM__C': 0.251, 'SVM__class_weight': 'balanced', 'SVM__max_iter': -1, 'SVM__tol': 0.050000010000000004}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,101,0.5,0.5,0.4999999999999999,0.5,0.5,0.5,4.965068306494546e-17
0.0239990234375,0.00940191269189822,0.0020001888275146484,1.6831743807528296e-06,0.251,balanced,-1,0.06000001,"{'SVM__C': 0.251, 'SVM__class_weight': 'balanced', 'SVM__max_iter': -1, 'SVM__tol': 0.06000001}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,101,0.5,0.5,0.4999999999999999,0.5,0.5,0.5,4.965068306494546e-17
0.018599271774291992,0.003929579901518068,0.0029999256134033204,0.0010957610782999499,0.251,balanced,-1,0.07000001,"{'SVM__C': 0.251, 'SVM__class_weight': 'balanced', 'SVM__max_iter': -1, 'SVM__tol': 0.07000001}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,101,0.5,0.5,0.4999999999999999,0.5,0.5,0.5,4.965068306494546e-17
0.023000240325927734,0.008269351314452018,0.0022009849548339845,0.0004016718290761906,0.251,balanced,-1,0.08000001,"{'SVM__C': 0.251, 'SVM__class_weight': 'balanced', 'SVM__max_iter': -1, 'SVM__tol': 0.08000001}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,101,0.5,0.5,0.4999999999999999,0.5,0.5,0.5,4.965068306494546e-17
0.017799854278564453,0.0024805409362390427,0.0018001556396484374,0.0003993993730003577,0.251,balanced,-1,0.09000000999999999,"{'SVM__C': 0.251, 'SVM__class_weight': 'balanced', 'SVM__max_iter': -1, 'SVM__tol': 0.09000000999999999}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,101,0.5,0.5,0.4999999999999999,0.5,0.5,0.5,4.965068306494546e-17
0.09740042686462402,0.008955970983143552,0.0017997264862060548,0.00040085728003431986,0.251,balanced,189,1e-08,"{'SVM__C': 0.251, 'SVM__class_weight': 'balanced', 'SVM__max_iter': 189, 'SVM__tol': 1e-08}",0.9105585911819544,0.9367570291968175,0.9346545703279691,0.9184793174208877,0.9208247830939267,0.9242522769651814,0.009972475576228459,82,0.9268329013212369,0.9226195295190754,0.9206501968657992,0.9281358873263763,0.9283416586382122,0.9253160347341399,0.003112813398917419
0.04360008239746094,0.0031992496295657493,0.0019988536834716795,1.4415947397070861e-06,0.251,balanced,189,0.01000001,"{'SVM__C': 0.251, 'SVM__class_weight': 'balanced', 'SVM__max_iter': 189, 'SVM__tol': 0.01000001}",0.9114046148706176,0.9376030528854807,0.9355005940166325,0.9184793174208877,0.9206069769953559,0.9247164019471111,0.01015309509505147,55,0.9267784497965944,0.9228310354412411,0.9217620366097522,0.9280815771932523,0.9278100265276328,0.9254526251136946,0.0026351363330568557
0.04519853591918945,0.006736126765222883,0.0023998737335205076,0.0008003968779293385,0.251,balanced,189,0.020000010000000002,"{'SVM__C': 0.251, 'SVM__class_weight': 'balanced', 'SVM__max_iter': 189, 'SVM__tol': 0.020000010000000002}",0.9114046148706176,0.9376030528854807,0.9355005940166325,0.9184793174208877,0.9206069769953559,0.9247164019471111,0.01015309509505147,55,0.9267784497965944,0.9228310354412411,0.9217620366097522,0.9280815771932523,0.9278100265276328,0.9254526251136946,0.0026351363330568557
0.04979915618896484,0.01312065564281109,0.003800487518310547,0.0036540237263395104,0.251,balanced,189,0.03000001,"{'SVM__C': 0.251, 'SVM__class_weight': 'balanced', 'SVM__max_iter': 189, 'SVM__tol': 0.03000001}",0.9114046148706176,0.9376030528854807,0.9355005940166325,0.9184793174208877,0.9206069769953559,0.9247164019471111,0.01015309509505147,55,0.9269355041941174,0.9228310354412411,0.9226566358212095,0.9280815771932523,0.9278100265276328,0.9256629558354905,0.002413990650435675
0.04199934005737305,0.0074297607696511185,0.0038001537322998047,0.003249626855805253,0.251,balanced,189,0.04000001,"{'SVM__C': 0.251, 'SVM__class_weight': 'balanced', 'SVM__max_iter': 189, 'SVM__tol': 0.04000001}",0.9114046148706176,0.9386668826727148,0.9355005940166325,0.9201713647982144,0.9189149296180293,0.924929127805433,0.010414137725308774,1,0.9269355041941174,0.9238342549189464,0.9226566358212095,0.9269039580955157,0.9270125783617635,0.9254685862783105,0.001853329778776532
0.0432011604309082,0.006046537356083853,0.0016001224517822265,0.0004912267214199031,0.251,balanced,189,0.050000010000000004,"{'SVM__C': 0.251, 'SVM__class_weight': 'balanced', 'SVM__max_iter': 189, 'SVM__tol': 0.050000010000000004}",0.9114046148706176,0.9386668826727148,0.9355005940166325,0.9201713647982144,0.9189149296180293,0.924929127805433,0.010414137725308774,1,0.9269355041941174,0.9238342549189464,0.9226566358212095,0.9269039580955157,0.9270125783617635,0.9254685862783105,0.001853329778776532
0.041600942611694336,0.002416657921180279,0.003198051452636719,0.0024008049930995326,0.251,balanced,189,0.06000001,"{'SVM__C': 0.251, 'SVM__class_weight': 'balanced', 'SVM__max_iter': 189, 'SVM__tol': 0.06000001}",0.9114046148706176,0.9386668826727148,0.9355005940166325,0.9201713647982144,0.9189149296180293,0.924929127805433,0.010414137725308774,1,0.9269355041941174,0.9238342549189464,0.9226566358212095,0.9269039580955157,0.9270125783617635,0.9254685862783105,0.001853329778776532
0.037799501419067384,0.004578475479431167,0.001999950408935547,1.9924719253326583e-06,0.251,balanced,189,0.07000001,"{'SVM__C': 0.251, 'SVM__class_weight': 'balanced', 'SVM__max_iter': 189, 'SVM__tol': 0.07000001}",0.9114046148706176,0.9386668826727148,0.9355005940166325,0.9201713647982144,0.9189149296180293,0.924929127805433,0.010414137725308774,1,0.9269355041941174,0.9238342549189464,0.9226566358212095,0.9269039580955157,0.9270125783617635,0.9254685862783105,0.001853329778776532
0.038000631332397464,0.004051623345630754,0.001997852325439453,1.2759292755374578e-06,0.251,balanced,189,0.08000001,"{'SVM__C': 0.251, 'SVM__class_weight': 'balanced', 'SVM__max_iter': 189, 'SVM__tol': 0.08000001}",0.9114046148706176,0.9386668826727148,0.9355005940166325,0.9201713647982144,0.9189149296180293,0.924929127805433,0.010414137725308774,1,0.9269355041941174,0.9238342549189464,0.9226566358212095,0.9269039580955157,0.9270125783617635,0.9254685862783105,0.001853329778776532
0.03980112075805664,0.008085045388104445,0.002998542785644531,0.002529921785260669,0.251,balanced,189,0.09000000999999999,"{'SVM__C': 0.251, 'SVM__class_weight': 'balanced', 'SVM__max_iter': 189, 'SVM__tol': 0.09000000999999999}",0.9114046148706176,0.9386668826727148,0.9355005940166325,0.9201713647982144,0.9189149296180293,0.924929127805433,0.010414137725308774,1,0.9269355041941174,0.9238342549189464,0.9226566358212095,0.9269039580955157,0.9270125783617635,0.9254685862783105,0.001853329778776532
0.01859936714172363,0.0029377634836034996,0.001799297332763672,0.00039837646828651865,0.501,balanced,-1,1e-08,"{'SVM__C': 0.501, 'SVM__class_weight': 'balanced', 'SVM__max_iter': -1, 'SVM__tol': 1e-08}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,101,0.5,0.5,0.4999999999999999,0.5,0.5,0.5,4.965068306494546e-17
